CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
716273133,Existing Customer,41,F,3,Graduate,Married,Less than $40K,Blue,36,2,2,3,1593.0,0,1593.0,0.61,4853,78,0.592,0.0,0.00019864,0.9998
771411408,Attrited Customer,50,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,38,2,3,4,2673.0,0,2673.0,1.043,4929,54,0.459,0.0,0.99825,0.00175068
750690258,Existing Customer,49,F,2,Graduate,Married,Less than $40K,Blue,39,2,3,3,2821.0,1995,826.0,0.62,8220,103,0.635,0.707,0.00030251,0.9997
710518308,Existing Customer,54,F,2,Doctorate,Married,Less than $40K,Blue,35,1,4,2,1685.0,0,1685.0,0.457,4155,85,0.667,0.0,0.00031455,0.99969
794528283,Existing Customer,44,M,4,College,Married,$60K - $80K,Blue,28,4,2,2,2748.0,878,1870.0,0.633,3383,67,0.558,0.32,0.00011605,0.99988
715236783,Existing Customer,42,F,4,College,Divorced,$40K - $60K,Blue,36,4,3,2,3734.0,2517,1217.0,0.724,4792,87,0.74,0.674,0.0001834,0.99982
772735758,Existing Customer,44,M,1,Unknown,Married,Unknown,Blue,34,6,2,0,2885.0,1895,990.0,0.387,1366,31,0.632,0.657,4.3319e-05,0.99996
716853258,Existing Customer,64,M,1,Graduate,Single,Less than $40K,Blue,45,5,3,2,4417.0,0,4417.0,0.904,4253,72,0.895,0.0,0.00016883,0.99983
816606333,Existing Customer,57,M,2,High School,Single,$80K - $120K,Blue,52,6,3,4,32409.0,0,32409.0,0.943,4218,66,0.571,0.0,0.00050163,0.9995
713675658,Existing Customer,36,F,1,High School,Single,Unknown,Blue,22,6,3,2,9817.0,848,8969.0,0.793,4636,85,0.848,0.086,0.00016413,0.99984
823578483,Existing Customer,44,F,4,High School,Single,Less than $40K,Blue,40,2,1,2,1438.3,1169,269.3,0.558,4429,78,0.529,0.813,5.6153e-05,0.99994
768196008,Existing Customer,54,M,1,Uneducated,Single,$60K - $80K,Blue,48,5,2,3,14948.0,2158,12790.0,0.844,3094,56,1.0,0.144,0.00018475,0.99982
718486608,Existing Customer,53,M,2,High School,Single,$120K +,Blue,36,2,2,2,21079.0,1431,19648.0,0.688,13930,96,0.655,0.068,0.00011065,0.99989
715298808,Existing Customer,40,M,2,High School,Divorced,$40K - $60K,Blue,32,1,3,2,7566.0,1618,5948.0,0.72,7570,88,0.544,0.214,0.00017486,0.99983
815840283,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,46,1,6,3,7744.0,1893,5851.0,0.813,16059,124,0.722,0.244,0.00026249,0.99974
711396483,Existing Customer,40,M,2,Graduate,Single,$40K - $60K,Blue,36,3,2,3,6033.0,0,6033.0,0.834,4505,74,0.721,0.0,0.00019143,0.99981
714577233,Existing Customer,50,F,3,Graduate,Married,$40K - $60K,Blue,41,2,3,1,4755.0,0,4755.0,0.776,15999,109,0.73,0.0,0.00011256,0.99989
806995683,Existing Customer,61,M,0,Doctorate,Single,$60K - $80K,Blue,56,4,1,3,4783.0,2517,2266.0,1.024,2870,50,1.174,0.526,0.00011504,0.99988
717257658,Existing Customer,41,M,3,Graduate,Single,$80K - $120K,Blue,29,2,2,1,9357.0,1942,7415.0,0.8,7971,84,0.787,0.208,7.1226e-05,0.99993
711237633,Attrited Customer,49,M,0,Graduate,Married,$60K - $80K,Blue,29,3,3,3,1460.0,0,1460.0,0.738,2329,36,0.5,0.0,0.99616,0.0038363
719859033,Attrited Customer,32,M,3,Graduate,Married,$40K - $60K,Blue,20,2,2,2,3264.0,0,3264.0,0.549,6439,63,0.75,0.0,0.99161,0.00839
716284308,Existing Customer,65,M,2,Graduate,Married,Unknown,Blue,55,3,2,2,6099.0,2175,3924.0,0.582,1319,34,0.545,0.357,0.00011382,0.99989
718661958,Existing Customer,41,M,3,College,Married,$80K - $120K,Blue,28,1,1,3,34516.0,1617,32899.0,0.625,13083,93,0.722,0.047,9.3457e-05,0.99991
719620983,Existing Customer,41,F,2,Unknown,Single,Less than $40K,Blue,29,6,3,0,2701.0,1839,862.0,0.765,4406,80,0.778,0.681,7.2936e-05,0.99993
713650683,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,4,1,4,3094.0,2266,828.0,0.724,1591,37,0.321,0.732,0.00013562,0.99986
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,0.00012274,0.99988
720259308,Existing Customer,39,M,3,High School,Single,$80K - $120K,Blue,30,5,3,3,6347.0,569,5778.0,0.668,3927,82,0.577,0.09,0.00030516,0.99969
824816358,Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,32,2,3,2,3277.0,0,3277.0,0.84,14252,127,0.649,0.0,0.0001736,0.99983
712431183,Existing Customer,52,F,2,Uneducated,Single,Less than $40K,Blue,37,4,3,1,2164.0,0,2164.0,0.688,5282,80,0.818,0.0,0.00011153,0.99989
709971708,Attrited Customer,51,F,1,High School,Single,Unknown,Blue,41,3,3,2,9701.0,0,9701.0,1.024,9404,62,0.824,0.0,0.99395,0.00605
708780783,Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,33,4,3,3,2434.0,1169,1265.0,0.689,4739,76,0.81,0.48,0.0003139,0.99969
713029683,Existing Customer,64,M,0,Graduate,Single,Less than $40K,Blue,36,5,4,1,1873.0,468,1405.0,1.154,4738,82,0.608,0.25,0.0001125,0.99989
803132733,Existing Customer,54,F,1,Graduate,Married,Less than $40K,Blue,48,4,3,2,6814.0,1570,5244.0,0.653,1339,30,0.364,0.23,0.00016883,0.99983
709236633,Existing Customer,40,F,3,Uneducated,Divorced,$40K - $60K,Blue,28,3,1,3,6608.0,2270,4338.0,0.75,4033,58,0.657,0.344,9.8837e-05,0.9999
708863733,Existing Customer,35,M,3,Unknown,Single,$40K - $60K,Gold,19,1,1,3,22725.0,808,21917.0,0.779,13847,120,0.875,0.036,0.00012173,0.99988
713695158,Existing Customer,51,F,4,Uneducated,Divorced,Less than $40K,Blue,40,5,4,3,1562.0,1057,505.0,0.807,5019,78,0.696,0.677,0.00039421,0.99961
821356083,Existing Customer,54,F,3,Uneducated,Married,$40K - $60K,Blue,49,3,1,3,1626.0,0,1626.0,0.664,4830,87,0.642,0.0,9.8837e-05,0.9999
720457608,Existing Customer,41,F,4,Graduate,Married,Less than $40K,Blue,36,4,1,1,4632.0,0,4632.0,0.637,4306,63,0.75,0.0,3.4833e-05,0.99997
712064358,Existing Customer,38,M,1,Graduate,Married,$60K - $80K,Blue,36,6,3,4,2507.0,1544,963.0,0.906,1999,34,0.789,0.616,0.00048435,0.99952
714396558,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,51,6,2,3,1511.0,0,1511.0,0.678,4683,87,0.706,0.0,0.00019311,0.99981
713159133,Existing Customer,32,F,2,High School,Single,Less than $40K,Silver,23,4,2,2,14143.0,1472,12671.0,0.777,13785,117,0.648,0.104,9.9979e-05,0.9999
721483158,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,29,4,3,3,7298.0,0,7298.0,0.589,4512,72,0.756,0.0,0.0003139,0.99969
716038533,Existing Customer,42,F,3,Graduate,Unknown,Less than $40K,Blue,32,3,1,2,7169.0,902,6267.0,0.834,1438,35,0.591,0.126,5.7151e-05,0.99994
778236858,Existing Customer,54,F,2,Graduate,Married,Unknown,Blue,42,4,1,1,11794.0,1018,10776.0,0.898,5547,87,0.706,0.086,3.3214e-05,0.99997
714983283,Attrited Customer,39,F,3,High School,Single,Less than $40K,Blue,36,6,1,3,3651.0,0,3651.0,0.977,862,19,1.111,0.0,0.98941,0.01059
709520058,Attrited Customer,53,M,5,Uneducated,Married,$120K +,Blue,38,4,2,2,19138.0,0,19138.0,0.482,2028,43,0.303,0.0,0.99179,0.00821
708928008,Existing Customer,34,F,2,High School,Single,$40K - $60K,Blue,36,2,3,1,1677.0,0,1677.0,0.7,4035,87,0.891,0.0,0.00010545,0.99989
715856208,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,5,4,3,1896.0,1119,777.0,0.671,4028,76,0.767,0.59,0.00037935,0.99962
720237408,Existing Customer,59,M,1,Doctorate,Single,$80K - $120K,Blue,49,4,2,2,22715.0,707,22008.0,0.848,15004,117,0.887,0.031,0.0001546,0.99985
778671483,Existing Customer,33,F,3,Uneducated,Single,Less than $40K,Blue,13,5,3,3,1630.0,1008,622.0,0.695,4143,67,0.595,0.618,0.00032275,0.99968
789186858,Existing Customer,52,M,2,Graduate,Married,$80K - $120K,Blue,41,2,5,1,33256.0,928,32328.0,0.694,7796,97,0.59,0.028,0.00012116,0.99988
711881733,Existing Customer,55,F,1,Graduate,Married,Less than $40K,Blue,46,3,3,3,1606.0,0,1606.0,0.855,4548,76,0.652,0.0,0.00028395,0.99972
801056358,Existing Customer,51,M,1,High School,Single,$80K - $120K,Blue,45,6,1,3,13287.0,1864,11423.0,0.603,3851,75,0.705,0.14,8.453e-05,0.99992
714282333,Existing Customer,49,F,4,College,Married,Less than $40K,Blue,36,1,1,2,3244.0,0,3244.0,0.765,7495,97,0.54,0.0,5.6158e-05,0.99994
711993258,Existing Customer,50,F,0,High School,Single,$40K - $60K,Blue,39,5,3,2,8264.0,2057,6207.0,0.821,4240,73,0.587,0.249,0.00015005,0.99985
708702258,Attrited Customer,40,F,3,Uneducated,Single,Unknown,Blue,36,3,2,2,3698.0,478,3220.0,0.611,2051,31,0.632,0.129,0.99183,0.00817
772825308,Existing Customer,40,M,3,Graduate,Divorced,$80K - $120K,Blue,31,4,2,3,27374.0,1509,25865.0,0.803,4231,60,0.714,0.055,0.00019864,0.9998
770135358,Existing Customer,46,F,1,Graduate,Married,Less than $40K,Blue,40,6,2,2,5157.0,1485,3672.0,0.699,4417,77,0.711,0.288,0.00010684,0.99989
778388358,Attrited Customer,56,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2,3,4742.0,855,3887.0,0.635,870,24,0.5,0.18,0.99499,0.00501
719723658,Existing Customer,49,F,2,Uneducated,Single,Less than $40K,Blue,39,6,1,3,1768.0,0,1768.0,0.788,4628,90,0.837,0.0,9.5249e-05,0.9999
709411383,Existing Customer,45,M,2,Uneducated,Unknown,$40K - $60K,Blue,37,6,4,1,2811.0,1630,1181.0,0.847,4275,78,0.733,0.58,0.00013479,0.99987
716225433,Existing Customer,60,M,1,Uneducated,Single,$80K - $120K,Blue,51,6,3,4,26566.0,2517,24049.0,0.985,3103,65,0.625,0.095,0.000498,0.9995
787659483,Existing Customer,58,F,1,Doctorate,Married,Less than $40K,Blue,48,4,2,2,1438.3,801,637.3,0.595,4223,60,0.579,0.557,0.0001546,0.99985
708171858,Existing Customer,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864.0,1081,783.0,1.416,2607,44,1.75,0.58,0.00023373,0.99977
708618933,Existing Customer,34,M,2,Uneducated,Single,$120K +,Blue,13,6,3,2,4369.0,2049,2320.0,0.865,3259,80,0.6,0.469,0.00018494,0.99982
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992
713548158,Existing Customer,26,M,0,College,Single,$40K - $60K,Blue,36,5,2,3,2657.0,1611,1046.0,0.599,2349,41,0.464,0.606,0.00015971,0.99984
818248383,Existing Customer,33,M,2,Doctorate,Married,$60K - $80K,Blue,28,3,3,3,4049.0,0,4049.0,0.898,1742,35,1.5,0.0,0.00043772,0.99956
713445183,Existing Customer,35,M,1,High School,Married,$60K - $80K,Blue,26,4,3,2,4008.0,1841,2167.0,1.504,2794,58,1.148,0.459,0.00016413,0.99984
710622333,Existing Customer,39,F,2,High School,Single,$40K - $60K,Blue,28,3,2,2,2751.0,2258,493.0,0.634,4386,67,0.675,0.821,0.00011065,0.99989
785134758,Existing Customer,41,M,2,College,Unknown,$80K - $120K,Blue,24,3,2,4,14320.0,0,14320.0,0.754,4077,77,0.791,0.0,0.00031749,0.99968
719245983,Existing Customer,46,F,4,Post-Graduate,Married,Unknown,Blue,38,6,3,2,13816.0,955,12861.0,0.699,4238,73,0.659,0.069,0.00022196,0.99978
711487533,Attrited Customer,47,F,3,Unknown,Married,Less than $40K,Blue,38,3,3,2,1438.3,0,1438.3,0.198,1687,38,0.226,0.0,0.99515,0.00484967
713401758,Existing Customer,45,M,2,Uneducated,Married,$120K +,Blue,36,6,2,3,3383.0,1458,1925.0,0.678,4897,75,0.562,0.431,0.00019683,0.9998
789228108,Existing Customer,56,F,4,Graduate,Single,Unknown,Blue,45,2,2,3,9091.0,1306,7785.0,0.743,4378,86,0.654,0.144,0.00020077,0.9998
708128733,Existing Customer,50,F,3,Post-Graduate,Single,Unknown,Blue,36,5,4,3,1814.0,0,1814.0,0.852,5014,99,0.623,0.0,0.00044634,0.99955
712867983,Existing Customer,54,F,2,Uneducated,Single,Less than $40K,Blue,43,6,1,4,3006.0,633,2373.0,0.733,5177,66,0.65,0.211,0.00016249,0.99984
788107683,Existing Customer,35,M,4,High School,Married,$40K - $60K,Blue,27,6,2,3,5325.0,1318,4007.0,1.045,1814,43,0.593,0.248,0.00019517,0.9998
771288258,Existing Customer,48,F,3,Unknown,Unknown,$40K - $60K,Blue,36,6,2,2,2545.0,1894,651.0,0.911,4660,68,0.789,0.744,0.00012982,0.99987
801048483,Existing Customer,34,M,3,Uneducated,Divorced,$120K +,Blue,28,4,3,3,9180.0,1814,7366.0,0.628,2646,49,0.633,0.198,0.00032275,0.99968
720827133,Attrited Customer,43,F,3,Doctorate,Single,Less than $40K,Blue,30,1,2,2,6261.0,463,5798.0,0.889,8132,64,0.6,0.074,0.99418,0.00582
711902058,Existing Customer,35,M,2,Graduate,Married,$60K - $80K,Blue,36,3,3,2,1438.3,0,1438.3,1.623,2492,55,0.897,0.0,0.00017987,0.99982
712855683,Existing Customer,50,F,2,Post-Graduate,Married,Less than $40K,Blue,36,1,2,2,3350.0,1335,2015.0,0.781,4906,89,0.561,0.399,0.00013393,0.99987
719392833,Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,38,3,3,2,2400.0,1613,787.0,0.629,1311,34,0.417,0.672,0.00018665,0.99981
779925033,Existing Customer,38,F,4,Graduate,Married,$40K - $60K,Blue,22,4,3,4,2997.0,1969,1028.0,1.235,2807,60,0.714,0.657,0.00054115,0.99946
715278708,Existing Customer,55,M,2,Unknown,Single,$60K - $80K,Blue,36,5,3,1,1594.0,927,667.0,0.985,3851,65,0.806,0.582,0.00011924,0.99988
717284133,Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,41,1,2,3,3472.0,2517,955.0,0.75,4520,84,0.68,0.725,0.00017468,0.99983
719459358,Existing Customer,52,M,1,Doctorate,Married,$120K +,Blue,41,4,2,2,33864.0,989,32875.0,1.219,1751,48,0.92,0.029,0.0001546,0.99985
771220758,Existing Customer,40,F,3,Doctorate,Single,Unknown,Blue,27,1,1,2,2896.0,2100,796.0,0.728,4614,83,0.694,0.725,8.2704e-05,0.99992
711516783,Existing Customer,47,F,4,Uneducated,Married,$40K - $60K,Blue,36,2,1,1,2155.0,1119,1036.0,0.815,5441,91,0.717,0.519,3.5816e-05,0.99996
806908608,Existing Customer,46,F,2,Unknown,Married,Less than $40K,Blue,41,5,2,3,1438.3,0,1438.3,0.691,3942,78,1.229,0.0,0.00021042,0.99979
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857.0,1833,24.0,0.723,829,17,0.7,0.987,0.99659,0.00341249
779597133,Existing Customer,55,M,1,Graduate,Single,$80K - $120K,Blue,44,4,3,2,2663.0,1784,879.0,0.785,4317,81,0.929,0.67,0.00016883,0.99983
710978058,Existing Customer,50,F,0,Uneducated,Single,$40K - $60K,Blue,41,6,2,3,7507.0,1697,5810.0,1.098,4651,71,1.029,0.226,0.00016891,0.99983
715859058,Existing Customer,54,M,3,Post-Graduate,Married,$120K +,Blue,42,6,3,4,3092.0,2165,927.0,0.676,1369,37,0.542,0.7,0.00062998,0.99937
771217758,Existing Customer,44,F,2,High School,Single,Less than $40K,Blue,31,3,2,3,4182.0,2028,2154.0,0.658,16920,114,0.606,0.485,0.0001861,0.99981
710094108,Existing Customer,33,M,3,Graduate,Single,$60K - $80K,Blue,27,6,2,3,2043.0,1725,318.0,0.686,5212,79,0.646,0.844,0.00019864,0.9998
709927458,Existing Customer,38,M,3,Graduate,Single,$40K - $60K,Blue,20,1,3,3,10486.0,1544,8942.0,0.716,4042,77,0.925,0.147,0.0003139,0.99969
713896533,Existing Customer,42,M,4,High School,Single,$60K - $80K,Blue,33,5,1,3,9442.0,838,8604.0,0.654,3157,63,0.853,0.089,9.4447e-05,0.99991
709397508,Existing Customer,48,M,1,Uneducated,Married,$60K - $80K,Blue,39,2,3,1,8624.0,1709,6915.0,0.967,15738,111,0.82,0.198,0.00010469,0.9999
779703258,Existing Customer,41,F,4,Graduate,Single,Less than $40K,Blue,24,3,3,1,2069.0,1393,676.0,0.875,4962,70,0.75,0.673,0.00011377,0.99989
712401033,Existing Customer,36,M,1,Unknown,Single,Less than $40K,Blue,23,4,3,1,1438.3,928,510.3,0.851,2186,59,0.686,0.645,0.00011192,0.99989
719732433,Existing Customer,54,M,2,Graduate,Single,$60K - $80K,Blue,36,5,3,1,12815.0,1017,11798.0,0.532,3771,78,0.66,0.079,0.00010848,0.99989
708488208,Existing Customer,57,F,3,Uneducated,Married,Less than $40K,Blue,47,5,3,3,2515.0,1922,593.0,1.181,2231,58,0.611,0.764,0.00032275,0.99968
710058033,Existing Customer,51,M,0,Uneducated,Divorced,$120K +,Blue,41,4,1,0,23898.0,0,23898.0,0.486,3781,66,0.61,0.0,1.7925e-05,0.99998
713455233,Existing Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,37,5,2,1,34516.0,1416,33100.0,0.491,4026,65,0.512,0.041,7.1226e-05,0.99993
711934308,Existing Customer,38,M,3,Graduate,Single,$40K - $60K,Blue,19,5,2,3,1705.0,0,1705.0,0.604,3342,62,0.824,0.0,0.00019864,0.9998
718788258,Existing Customer,52,M,5,Unknown,Married,$80K - $120K,Blue,40,3,3,4,30314.0,776,29538.0,0.705,3290,82,0.64,0.026,0.00058553,0.99941
819997983,Existing Customer,53,M,5,Unknown,Married,$80K - $120K,Blue,48,6,1,0,9517.0,1869,7648.0,0.821,1453,26,0.857,0.196,2.3055e-05,0.99998
713131158,Attrited Customer,58,M,2,Uneducated,Single,$80K - $120K,Blue,46,1,3,1,10286.0,0,10286.0,0.908,8199,59,0.903,0.0,0.99111,0.00889
711800658,Attrited Customer,42,F,3,High School,Single,Less than $40K,Blue,36,2,3,3,2145.0,0,2145.0,0.577,2465,42,0.355,0.0,0.99673,0.00326528
719494983,Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,15,6,3,3,2740.0,2069,671.0,0.418,1997,44,0.419,0.755,0.0002596,0.99974
710878308,Attrited Customer,50,F,4,Graduate,Single,Less than $40K,Blue,37,1,2,3,3699.0,913,2786.0,0.866,7297,71,0.69,0.247,0.99504,0.00495524
807014583,Existing Customer,31,F,0,Graduate,Divorced,Unknown,Blue,26,3,3,3,1469.0,0,1469.0,0.915,4331,89,0.935,0.0,0.0002596,0.99974
708225483,Existing Customer,47,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,4,11242.0,1561,9681.0,0.829,4246,81,0.8,0.139,0.00034248,0.99966
720132258,Existing Customer,49,M,3,Post-Graduate,Single,$120K +,Silver,36,6,1,5,34516.0,1323,33193.0,0.934,3422,78,0.529,0.038,0.00030168,0.9997
719621958,Existing Customer,43,M,3,Graduate,Unknown,$60K - $80K,Blue,28,3,2,3,4365.0,0,4365.0,0.32,1720,40,0.379,0.0,0.00019864,0.9998
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126.0,0,27126.0,0.953,1000,25,0.786,0.0,0.99661,0.00338788
708862233,Existing Customer,44,F,4,Graduate,Married,$40K - $60K,Blue,30,3,3,3,4068.0,0,4068.0,1.121,5161,83,0.766,0.0,0.00031726,0.99968
717613233,Existing Customer,45,M,4,Uneducated,Married,$60K - $80K,Silver,33,5,2,4,25907.0,745,25162.0,0.607,2058,56,0.806,0.029,0.00031818,0.99968
718116933,Existing Customer,53,F,3,Graduate,Single,Less than $40K,Blue,36,2,3,1,1438.3,630,808.3,0.667,4704,79,0.756,0.438,0.00011256,0.99989
716445783,Existing Customer,42,F,2,Uneducated,Married,Unknown,Blue,31,4,2,0,22718.0,0,22718.0,0.791,1191,37,1.176,0.0,4.317e-05,0.99996
